type,properties/msha_id,properties/namemsha,properties/county,tot_prod,properties/notes,properties/year,geometry/type,lon,lat
Feature,1103248,Black Hawk,Randolph,640865,,2013,Point,-89.60055500004758,38.08944399981146
Feature,1103254,Fidelity Mine,Perry,18532,Refuse coal is included,2013,Point,-89.3166660002435,38.00000000021165
Feature,1201946,Viking Mine - Corning Pit,Daviess,1114914,,2013,Point,-86.99999999986701,38.60939999986023
Feature,1202167,Freelandville Mine,Knox,130715,,2013,Point,-87.28940000044577,38.87500000027918
Feature,1202207,Somerville,Gibson,587931,,2013,Point,-87.34859999995204,38.30279999980379
Feature,1202215,Gibson Mine,Gibson,3938521,,2013,Point,-87.61109999965348,38.37639999969719
Feature,1202226,Collie Pond Co,Vigo,21904,,2013,Point,-87.32083299995975,39.36194400030106
Feature,1202249,Prosperity Mine,Pike,1795632,,2013,Point,-87.39919999964536,38.49029999977898
Feature,1202258,Somerville Central Mine,Gibson,2607983,,2013,Point,-87.37220000010726,38.27500000027179
Feature,1202295,Francisco Underground Pit,Gibson,2914792,,2013,Point,-87.43279999972931,38.33559999989707
Feature,1202316,Freelandville Underground,Knox,16273,,2013,Point,-87.26121559017186,38.86940925252825
Feature,1202325,Hurricane Creek,Gibson,234638,,2013,Point,-87.2499999998821,38.28333299972654
Feature,1202339,Freelandville East,Knox,414810,,2013,Point,-87.24189999966136,38.84140000034164
Feature,1202349,Carlisle Mine,Sullivan,3136361,,2013,Point,-87.94579999993637,38.394399999948284
Feature,1202372,Antioch Mine,Daviess,991309,,2013,Point,-87.08690000031676,38.69169999971501
Feature,1202374,Shamrock Mine,Dubois,1159798,,2013,Point,-87.02563000032488,38.27200999997343
Feature,1202394,Oaktown Fuels Mine No 1,Knox,3376144,,2013,Point,-87.42780000021412,38.861900000291485
Feature,1202407,West 61,Warrick,1524285,,2013,Point,-87.24249999971099,38.15579999987941
Feature,1202410,Log Creek Surface,Pike,940789,,2013,Point,-87.30079999959199,38.253300000014775
Feature,1202418,Oaktown Fuels Mine No 2,Knox,1038597,,2013,Point,-87.42499999998253,38.858611000052065
Feature,1202422,Bear Run Mine,Sullivan,8305079,,2013,Point,-87.2778000003847,39.02439999990658
Feature,1202423,Freelandville West Underground,Knox,598937,,2013,Point,-87.26059999986047,38.86940000004867
Feature,1202428,Liberty Mine,Warrick,586627,,2013,Point,-87.30083300010226,38.09166600017438
Feature,1202431,Landree Mine,Sullivan,21674,,2013,Point,-87.19916599983708,39.16305500028185
Feature,1202433,Hilsmeyer #2,Pike,139790,,2013,Point,-87.10810000027348,38.26420000011997
Feature,1202441,Wild Boar Mine,Warrick,2025849,,2013,Point,-87.23080000009082,38.19219999991665
Feature,1202445,Addcar System 40 Hwm Ser # Lv2,Warrick,469811,,2013,Point,-87.26469999975042,38.18329999968866
Feature,1202446,Cardinal Mine,Pike,888785,,2013,Point,-87.2902769996065,38.236665999706105
Feature,1202460,Ace In The Hole,Clay,119886,,2013,Point,-87.09694399972813,39.27499999967556
Feature,1401626,Garland Mine,Bourbon,22150,,2013,Point,-94.63470000023167,37.72079999978244
Feature,1502132,Dotiki Mine,Hopkins,3473953,,2013,Point,-87.63309999967639,37.40500000011538
Feature,1502263,Darby Fork No 1,Harlan,483465,,2013,Point,-82.99310000040212,36.866699999979346
Feature,1502709,Highland 9 Mine,Union,2931435,,2013,Point,-87.76859999965403,37.75670000002345
Feature,1503627,#20 Strip Job,Perry,385126,,2013,Point,-83.33080000003483,37.3286000003393
Feature,1508079,Mine No 3,Pike,278539,,2013,Point,-82.50229000018875,37.386130000031876
Feature,1509636,#77,Perry,235543,,2013,Point,-83.11829999997705,37.02560000019697
Feature,1512753,Calvary No 81,Leslie,415418,,2013,Point,-83.23939999966206,37.134999999771814
Feature,1512908,No 2,Floyd,86053,,2013,Point,-82.65889999971144,37.39860000011603
Feature,1513418,Dredge #1,Lawrence,7569,,2013,Point,-82.6072000003763,38.18470000014093
Feature,1513936,Frasure Creek Mine No 6,Perry,9358,,2013,Point,-83.14169000006999,37.36007999983978
Feature,1514728,Foresters Creek Strip,Harlan,554488,,2013,Point,-83.36079999982103,36.82309999983514
Feature,1515215,#3,Pike,45051,,2013,Point,-82.3371999996054,37.44829999995829
Feature,1515851,Mine No 1,Johnson,3402,,2013,Point,-83.05916599969471,37.994165999914934
Feature,1516231,Patriot Surface,Henderson,13663,,2013,Point,-87.44060000037442,37.81609999980392
Feature,1516516,#2 Surface,Bell,66171,,2013,Point,-83.82470000000968,36.61190000015241
Feature,1516580,Auger Mine No 6,Lawrence,6741,,2013,Point,-82.5688879997589,37.498888000037894
Feature,1516855,Stonecoal,Pike,5893,,2013,Point,-82.52638800028633,37.56638800015629
Feature,1516883,Combs Branch Job,Perry,1373084,,2013,Point,-83.3399999998974,37.372800000175545
Feature,1517216,Cardinal,Hopkins,5198985,,2013,Point,-87.57169999998816,37.343600000192524
Feature,1517232,Richland No 9,Hopkins,690911,,2013,Point,-87.59419999960323,37.295799999890555
Feature,1517234,Huff Creek No 1,Harlan,440681,,2013,Point,-83.44507999996425,36.73888999988932
Feature,1517288,No. 4,Knox,2238,,2013,Point,-180,-90
Feature,1517478,#75,Perry,248590,,2013,Point,-83.1400000004243,37.079399999946396
Feature,1517497,#68,Perry,434391,,2013,Point,-83.12359999996623,37.22140000022197
Feature,1517691,Mine #3,Knox,62750,,2013,Point,-83.88640000017188,36.7967000002643
Feature,1517741,Paradise #9,Muhlenberg,2418902,,2013,Point,-87.20969999969319,37.29940000030093
