type,properties/plant_code,properties/PLANT_NAME,properties/UTILITY_ID,properties/UTILITY_NA,properties/primary_fu,total_cap,properties/cap_coal,properties/cap_ng,properties/cap_pet,properties/cap_otherf,properties/cap_nuc,properties/cap_bio,properties/cap_geo,properties/cap_hydro,properties/cap_pump,properties/cap_solar,properties/cap_wind,properties/cap_wood,properties/cap_other,properties/Capacity_b,properties/producer_t,properties/Source,properties/PrimaryFue,geometry/type,lon,lat
Feature,4012,Trego,13781,Northern States Power Co - Minnesota,HYC,0.7,0,0,0,,0,,,0.7,0,0,0,,,Hydro = 0.7 MW,Electric Utility,EIA,Hydroelectric,Point,-91.8883739999831,45.947940000212334
Feature,4014,Wheaton,13781,Northern States Power Co - Minnesota,NG,290,0,190,100,,0,,,0,0,0,0,,,Natural Gas = 190 MW  Petroleum = 100 MW,Electric Utility,EIA,Natural Gas,Point,-91.51583300015932,44.88541599988177
Feature,4015,Wissota,13781,Northern States Power Co - Minnesota,HYC,21.6,0,0,0,,0,,,21.6,0,0,0,,,Hydro = 21.6 MW,Electric Utility,EIA,Hydroelectric,Point,-91.34060000043041,44.93780000018337
Feature,4018,Clam River Dam,58149,Renewable World Energies LLC,HYC,1.2,0,0,0,,0,,,1.2,0,0,0,,,Hydro = 1.2 MW,IPP,EIA,Hydroelectric,Point,-92.53830000022288,45.94669999983088
Feature,4019,Danbury Dam,58149,Renewable World Energies LLC,HYC,1,0,0,0,,0,,,1,0,0,0,,,Hydro = 1 MW,IPP,EIA,Hydroelectric,Point,-92.37249999998504,46.00000000027232
Feature,4020,Frederic Diesel,13815,Northwestern Wisconsin Elec Co,PET,13.5,0,0,13.5,,0,,,0,0,0,0,,,Petroleum = 13.5 MW,Electric Utility,EIA,Petroleum,Point,-92.46059999963569,45.658300000259004
Feature,4021,Grantsburg Diesel,13815,Northwestern Wisconsin Elec Co,PET,6.3,0,0,6.3,,0,,,0,0,0,0,,,Petroleum = 6.3 MW,Electric Utility,EIA,Petroleum,Point,-92.66999999988623,45.77000000029452
Feature,4040,Port Washington Generating Station,20847,Wisconsin Electric Power Co,NG,1090,0,1090,0,,0,,,0,0,0,0,,,Natural Gas = 1090 MW,Electric Utility,EIA,Natural Gas,Point,-87.8689000003137,43.3841999999818
Feature,4041,South Oak Creek,20847,Wisconsin Electric Power Co,COAL,976,976,0,0,,0,,,0,0,0,0,,,Coal = 976 MW,Electric Utility,EIA,Coal,Point,-87.82940000019094,42.84570000007687
Feature,4042,Valley,20847,Wisconsin Electric Power Co,COAL,259,256,0,3,,0,,,0,0,0,0,,,Coal = 256 MW  Petroleum = 3 MW,Electric Utility,EIA,Coal,Point,-87.9233000003213,43.03030000011134
Feature,4043,Appleton,20847,Wisconsin Electric Power Co,HYC,1,0,0,0,,0,,,1,0,0,0,,,Hydro = 1 MW,Electric Utility,EIA,Hydroelectric,Point,-88.40956000038295,44.253929999899405
Feature,4044,Oconto Falls Upper,42662,N E W Hydro LLC,HYC,1.1,0,0,0,,0,,,1.1,0,0,0,,,Hydro = 1.1 MW,IPP,EIA,Hydroelectric,Point,-88.14749999999924,44.87639999985765
Feature,4045,Pine,20847,Wisconsin Electric Power Co,HYC,1.1,0,0,0,,0,,,1.1,0,0,0,,,Hydro = 1.1 MW,Electric Utility,EIA,Hydroelectric,Point,-88.2483000002511,45.827500000236284
Feature,4046,Point Beach Nuclear Plant,55906,NextEra Energy Point Beach LLC,NUC,1212.5,0,0,15,,1197.5,,,0,0,0,0,,,Petroleum = 15 MW  Nuclear = 1197.5 MW,IPP,EIA,Nuclear,Point,-87.53689999980496,44.28059999989528
Feature,4050,Edgewater,20856,Wisconsin Power & Light Co,COAL,736,736,0,0,,0,,,0,0,0,0,,,Coal = 736 MW,Electric Utility,EIA,Coal,Point,-87.7058629995992,43.71514200014029
Feature,4053,Kilbourn,20856,Wisconsin Power & Light Co,HYC,9.5,0,0,0,,0,,,9.5,0,0,0,,,Hydro = 9.5 MW,Electric Utility,EIA,Hydroelectric,Point,-89.78076399990056,43.625845000086564
Feature,4054,Nelson Dewey Generating Station,20856,Wisconsin Power & Light Co,COAL,206.2,206.2,0,0,,0,,,0,0,0,0,,,Coal = 206.2 MW,Electric Utility,EIA,Coal,Point,-91.00850000036256,42.72250000027517
Feature,4056,Prairie Du Sac,20856,Wisconsin Power & Light Co,HYC,29,0,0,0,,0,,,29,0,0,0,,,Hydro = 29 MW,Electric Utility,EIA,Hydroelectric,Point,-89.72777800025244,43.30993199999427
Feature,4057,Rock River,20856,Wisconsin Power & Light Co,NG,126.4,0,126.4,0,,0,,,0,0,0,0,,,Natural Gas = 126.4 MW,Electric Utility,EIA,Natural Gas,Point,-89.02759999957559,42.581967999732264
Feature,4059,Sheepskin,20856,Wisconsin Power & Light Co,NG,28.9,0,28.9,0,,0,,,0,0,0,0,,,Natural Gas = 28.9 MW,Electric Utility,EIA,Natural Gas,Point,-89.11083299978043,42.834699999873834
Feature,4060,Alexander,20860,Wisconsin Public Service Corp,HYC,2.4,0,0,0,,0,,,2.4,0,0,0,,,Hydro = 2.4 MW,Electric Utility,EIA,Hydroelectric,Point,-89.75530000002236,45.18750000026583
Feature,4061,Caldron Falls,20860,Wisconsin Public Service Corp,HYC,6.8,0,0,0,,0,,,6.8,0,0,0,,,Hydro = 6.8 MW,Electric Utility,EIA,Hydroelectric,Point,-88.2306000001347,45.35690000006476
Feature,4063,Grandfather Falls,20860,Wisconsin Public Service Corp,HYC,17.1,0,0,0,,0,,,17.1,0,0,0,,,Hydro = 17.1 MW,Electric Utility,EIA,Hydroelectric,Point,-89.7917000003379,45.301900000143334
Feature,4064,Hat Rapids,20860,Wisconsin Public Service Corp,HYC,0.9,0,0,0,,0,,,0.9,0,0,0,,,Hydro = 0.9 MW,Electric Utility,EIA,Hydroelectric,Point,-89.48060000021023,45.571100000017736
Feature,4065,High Falls,20860,Wisconsin Public Service Corp,HYC,2.5,0,0,0,,0,,,2.5,0,0,0,,,Hydro = 2.5 MW,Electric Utility,EIA,Hydroelectric,Point,-88.19969999982487,45.27939999981025
Feature,4067,Johnson Falls,20860,Wisconsin Public Service Corp,HYC,1.4,0,0,0,,0,,,1.4,0,0,0,,,Hydro = 1.4 MW,Electric Utility,EIA,Hydroelectric,Point,-88.16030000015954,45.287499999755205
Feature,4068,Merrill,20860,Wisconsin Public Service Corp,HYC,1.9,0,0,0,,0,,,1.9,0,0,0,,,Hydro = 1.9 MW,Electric Utility,EIA,Hydroelectric,Point,-89.68500000004722,45.178599999835455
Feature,4071,Potato Rapids,20860,Wisconsin Public Service Corp,HYC,0.6,0,0,0,,0,,,0.6,0,0,0,,,Hydro = 0.6 MW,Electric Utility,EIA,Hydroelectric,Point,-87.75859999972528,45.11360000016532
Feature,4072,Pulliam,20860,Wisconsin Public Service Corp,COAL,415,328,87,0,,0,,,0,0,0,0,,,Coal = 328 MW  Natural Gas = 87 MW,Electric Utility,EIA,Coal,Point,-88.00859999974038,44.54000000024433
Feature,4074,Sandstone Rapids,20860,Wisconsin Public Service Corp,HYC,1.6,0,0,0,,0,,,1.6,0,0,0,,,Hydro = 1.6 MW,Electric Utility,EIA,Hydroelectric,Point,-88.06780000014498,45.23330000031079
Feature,4075,Tomahawk,20860,Wisconsin Public Service Corp,HYC,2.4,0,0,0,,0,,,2.4,0,0,0,,,Hydro = 2.4 MW,Electric Utility,EIA,Hydroelectric,Point,-89.73060000022534,45.44110000008619
Feature,4076,West Marinette,20860,Wisconsin Public Service Corp,NG,156.4,0,156.4,0,,0,,,0,0,0,0,,,Natural Gas = 156.4 MW,Electric Utility,EIA,Natural Gas,Point,-87.6880999997336,45.08690000022549
Feature,4077,Wausau,20860,Wisconsin Public Service Corp,HYC,3.6,0,0,0,,0,,,3.6,0,0,0,,,Hydro = 3.6 MW,Electric Utility,EIA,Hydroelectric,Point,-89.63670000009498,44.957500000274095
Feature,4078,Weston,20860,Wisconsin Public Service Corp,COAL,1052.6,995.1,57.5,0,,0,,,0,0,0,0,,,Coal = 995.1 MW  Natural Gas = 57.5 MW,Electric Utility,EIA,Coal,Point,-89.65529999983666,44.86060000006521
Feature,4079,Castle Rock,20863,Wisconsin River Power Company,HYC,17.5,0,0,0,,0,,,17.5,0,0,0,,,Hydro = 17.5 MW,Electric Utility,EIA,Hydroelectric,Point,-89.95139999962207,43.86560000020705
Feature,4080,Petenwell,20863,Wisconsin River Power Company,HYC,20.4,0,0,0,,0,,,20.4,0,0,0,,,Hydro = 20.4 MW,Electric Utility,EIA,Hydroelectric,Point,-90.02169999959722,44.057200000081025
Feature,4100,Arcadia Electric,765,City of Arcadia - (WI),PET,16.9,0,6,10.9,,0,,,0,0,0,0,,,Natural Gas = 6 MW  Petroleum = 10.9 MW,Electric Utility,EIA,Petroleum,Point,-91.50340000042011,44.25239999972308
Feature,4102,Barron,1278,City of Barron - (WI),PET,8.4,0,0,8.3,,0,,,0.1,0,0,0,,,Petroleum = 8.3 MW  Hydro = 0.1 MW,Electric Utility,EIA,Petroleum,Point,-91.84038200000242,45.4019299997056
Feature,4107,Cashton,3156,Village of Cashton - (WI),PET,3.5,0,1.1,2.4,,0,,,0,0,0,0,,,Natural Gas = 1.1 MW  Petroleum = 2.4 MW,Electric Utility,EIA,Petroleum,Point,-90.78059999992944,43.7560999997718
Feature,4112,Cumberland,4627,City of Cumberland - (WI),NG,20.7,0,11.8,8.9,,0,,,0,0,0,0,,,Natural Gas = 11.8 MW  Petroleum = 8.9 MW,Electric Utility,EIA,Natural Gas,Point,-92.02559999959145,45.52360000019391
Feature,4113,Elroy,5834,City of Elroy - (WI),PET,6.6,0,0,6.6,,0,,,0,0,0,0,,,Petroleum = 6.6 MW,Electric Utility,EIA,Petroleum,Point,-90.27639999955187,43.748600000119
Feature,4114,Fennimore,6274,City of Fennimore - (WI),PET,8.1,0,0,8.1,,0,,,0,0,0,0,,,Petroleum = 8.1 MW,Electric Utility,EIA,Petroleum,Point,-90.65580000038759,42.98280000003214
Feature,4118,Kaukauna Gas Turbine,10056,City of Kaukauna,NG,15.8,0,15.8,0,,0,,,0,0,0,0,,,Natural Gas = 15.8 MW,Electric Utility,EIA,Natural Gas,Point,-88.26544499962543,44.276198999869074
Feature,4119,Little Chute,10056,City of Kaukauna,HYC,3.3,0,0,0,,0,,,3.3,0,0,0,,,Hydro = 3.3 MW,Electric Utility,EIA,Hydroelectric,Point,-88.2555800003142,44.279896999805146
Feature,4120,New Badger,10056,City of Kaukauna,HYC,8,0,0,0,,0,,,8,0,0,0,,,Hydro = 8 MW,Electric Utility,EIA,Hydroelectric,Point,-88.26779999961808,44.277199999945665
Feature,4122,Rapide Croche,10056,City of Kaukauna,HYC,2.4,0,0,0,,0,,,2.4,0,0,0,,,Hydro = 2.4 MW,Electric Utility,EIA,Hydroelectric,Point,-88.31470000035284,44.316400000076065
Feature,4124,La Farge,10525,La Farge Municipal Electric Co,PET,1.5,0,0,1.5,,0,,,0,0,0,0,,,Petroleum = 1.5 MW,Electric Utility,EIA,Petroleum,Point,-90.63939999992955,43.59030000008182
Feature,4125,Manitowoc,11571,Manitowoc Public Utilities,PET,111.9,0,5,106.9,,0,,,0,0,0,0,,,Natural Gas = 5 MW  Petroleum = 106.9 MW,Electric Utility,EIA,Petroleum,Point,-87.65580000020633,44.082000000077144
Feature,4127,Menasha,12298,City of Menasha - (WI),COAL,26.9,26.9,0,0,,0,,,0,0,0,0,,,Coal = 26.9 MW,Electric CHP,EIA,Coal,Point,-88.45817099978152,44.200019999924386
Feature,4130,New Lisbon,13466,City of New Lisbon,PET,7.6,0,0,7.6,,0,,,0,0,0,0,,,Petroleum = 7.6 MW,Electric Utility,EIA,Petroleum,Point,-90.13939999989933,43.89279999981044
Feature,4139,Viola,19867,Village of Viola - (WI),PET,1.8,0,0,1.8,,0,,,0,0,0,0,,,Petroleum = 1.8 MW,Electric Utility,EIA,Petroleum,Point,-90.66830000007394,43.50469999979545
Feature,4140,Alma,4716,Dairyland Power Coop,COAL,102.5,102.5,0,0,,0,,,0,0,0,0,,,Coal = 102.5 MW,Electric Utility,EIA,Coal,Point,-91.91111100032296,44.30833300006135
Feature,4142,Flambeau Hydroelectric Station,4716,Dairyland Power Coop,HYC,21.5,0,0,0,,0,,,21.5,0,0,0,,,Hydro = 21.5 MW,Electric Utility,EIA,Hydroelectric,Point,-91.0472110002898,45.49182599979469
Feature,4143,Genoa,4716,Dairyland Power Coop,COAL,306.7,306.7,0,0,,0,,,0,0,0,0,,,Coal = 306.7 MW,Electric Utility,EIA,Coal,Point,-91.23250000002396,43.55890000011563
Feature,4146,E J Stoneman Station,56293,DTE Stoneman LLC,WOOD,50,0,0,0,,0,,,0,0,0,0,50,,Wood = 50 MW,IPP,EIA,Wood,Point,-90.98474000037376,42.70825999973876
Feature,4147,Stiles,13964,Oconto Electric Cooperative,HYC,0.6,0,0,0,,0,,,0.6,0,0,0,,,Hydro = 0.6 MW,Electric Utility,EIA,Hydroelectric,Point,-88.15859999956979,44.87469999977292
Feature,4148,Washington Island,20153,"Washington Island El Coop, Inc",PET,5,0,0,5,,0,,,0,0,0,0,,,Petroleum = 5 MW,Electric Utility,EIA,Petroleum,Point,-86.89689999987408,45.376099999889945
Feature,4158,Dave Johnston,14354,PacifiCorp,COAL,760,760,0,0,,0,,,0,0,0,0,,,Coal = 760 MW,Electric Utility,EIA,Coal,Point,-105.77690000008064,42.83780000029314
Feature,4162,Naughton,14354,PacifiCorp,COAL,687,687,0,0,,0,,,0,0,0,0,,,Coal = 687 MW,Electric Utility,EIA,Coal,Point,-110.59829999998462,41.7581000003204
Feature,4176,Fremont Canyon,2518,U S Bureau of Reclamation,HYC,66.8,0,0,0,,0,,,66.8,0,0,0,,,Hydro = 66.8 MW,Electric Utility,EIA,Hydroelectric,Point,-106.79590099974075,42.476600000030146
Feature,4177,Glendo,2518,U S Bureau of Reclamation,HYC,38,0,0,0,,0,,,38,0,0,0,,,Hydro = 38 MW,Electric Utility,EIA,Hydroelectric,Point,-104.95552600035764,42.467254000084665
Feature,4178,Guernsey,2518,U S Bureau of Reclamation,HYC,6.4,0,0,0,,0,,,6.4,0,0,0,,,Hydro = 6.4 MW,Electric Utility,EIA,Hydroelectric,Point,-104.76063400035478,42.289867999901126
Feature,4180,Kortes,2518,U S Bureau of Reclamation,HYC,36.6,0,0,0,,0,,,36.6,0,0,0,,,Hydro = 36.6 MW,Electric Utility,EIA,Hydroelectric,Point,-106.8805430002822,42.174300999820076
Feature,4182,Seminoe,2518,U S Bureau of Reclamation,HYC,51.6,0,0,0,,0,,,51.6,0,0,0,,,Hydro = 51.6 MW,Electric Utility,EIA,Hydroelectric,Point,-106.90848299962857,42.15612700032073
Feature,4183,Shoshone,2518,U S Bureau of Reclamation,HYC,3,0,0,0,,0,,,3,0,0,0,,,Hydro = 3 MW,Electric Utility,EIA,Hydroelectric,Point,-109.181227999602,44.50289699992391
Feature,4185,Fontenelle,2518,U S Bureau of Reclamation,HYC,11.2,0,0,0,,0,,,11.2,0,0,0,,,Hydro = 11.2 MW,Electric Utility,EIA,Hydroelectric,Point,-110.06397299959922,42.02701299994494
Feature,4195,Powerlane Plant,7634,City of Greenville - (TX),NG,111,0,111,0,,0,,,0,0,0,0,,,Natural Gas = 111 MW,Electric Utility,EIA,Natural Gas,Point,-96.12640000008503,33.17069999986152
Feature,4201,Combined Locks,10056,City of Kaukauna,HYC,6.2,0,0,0,,0,,,6.2,0,0,0,,,Hydro = 6.2 MW,Electric Utility,EIA,Hydroelectric,Point,-88.30054799975734,44.27351099984005
Feature,4204,Island Park,6169,Fall River Rural Elec Coop Inc,HYC,4.8,0,0,0,,0,,,4.8,0,0,0,,,Hydro = 4.8 MW,Electric Utility,EIA,Hydroelectric,Point,-111.39597099962026,44.41829299984198
Feature,4213,PHP 1,15248,Portland General Electric Co,HYC,24,0,0,0,,0,,,24,0,0,0,,,Hydro = 24 MW,Electric Utility,EIA,Hydroelectric,Point,-122.08318800018424,45.48170799999977
Feature,4214,PHP 2,15248,Portland General Electric Co,HYC,13.5,0,0,0,,0,,,13.5,0,0,0,,,Hydro = 13.5 MW,Electric Utility,EIA,Hydroelectric,Point,-122.15125700001528,45.44897699968908
Feature,4251,Logan City,11135,City of Logan - (UT),NG,13.5,0,13.5,0,,0,,,0,0,0,0,,,Natural Gas = 13.5 MW,Electric Utility,EIA,Natural Gas,Point,-111.8432999996466,41.725832999775164
Feature,4256,Walnut,19281,Turlock Irrigation District,NG,47,0,47,0,,0,,,0,0,0,0,,,Natural Gas = 47 MW,Electric Utility,EIA,Natural Gas,Point,-120.904400000303,37.490299999724726
Feature,4257,Easton 2,5625,Easton Utilities Comm,PET,37,0,0,37,,0,,,0,0,0,0,,,Petroleum = 37 MW,Electric Utility,EIA,Petroleum,Point,-76.06999999960183,38.79500000007454
Feature,4258,Greenup Hydro,7977,City of Hamilton - (OH),HYC,70.2,0,0,0,,0,,,70.2,0,0,0,,,Hydro = 70.2 MW,Electric Utility,EIA,Hydroelectric,Point,-82.85939999967503,38.647199999840986
Feature,4259,Endicott Station,12807,Michigan South Central Pwr Agy,COAL,50,50,0,0,,0,,,0,0,0,0,,,Coal = 50 MW,Electric Utility,EIA,Coal,Point,-84.75500000014459,42.031699999864124
Feature,4263,Echo Dam,2010,City of Bountiful,HYC,4.4,0,0,0,,0,,,4.4,0,0,0,,,Hydro = 4.4 MW,Electric Utility,EIA,Hydroelectric,Point,-111.43393699973292,40.9648279996637
Feature,4266,Spencer,6958,City of Garland - (TX),NG,122,0,122,0,,0,,,0,0,0,0,,,Natural Gas = 122 MW,Electric Utility,EIA,Natural Gas,Point,-97.106099999814,33.197499999947865
