,lon,lat,class,oilgas,zoom
313,-122.000968,38.022093,DC,GAS,0.0
314,-118.109692,34.026121999999994,DC,GAS,0.0
315,-119.099682,34.430354,DC,GAS,0.0
316,-119.448531,35.276044,DC,GAS,0.0
317,-118.36073600000002,33.991259,DC,GAS,0.0
318,-119.462453,35.277254,DC,GAS,0.0
319,-119.156586,34.409298,DC,GAS,0.0
320,-118.571831,34.314968,DC,GAS,0.0
321,-119.465091,35.277084,DC,GAS,0.0
322,-119.401739,35.26335200000001,DC,GAS,2.0
323,-121.67273,38.916844,DC,GAS,0.0
324,-119.473535,35.30459099999999,DC,GAS,4.0
325,-118.546736,34.317598,DC,GAS,0.0
326,-119.150666,34.417768,DC,GAS,1.0
327,-119.132188,34.430235,DC,GAS,0.0
328,-119.150609,34.417556,DC,GAS,0.0
329,-118.869172,34.365446,DF,GAS,0.0
330,-119.473242,35.276764,DC,GAS,1.0
331,-118.8674,34.476131,DC,GAS,0.0
332,-119.102015,34.431398,DC,GAS,0.0
333,-119.152169,35.170587,DC,GAS,3.0
334,-121.750799,38.261957,DC,GAS,1.0
335,-120.332426,34.85995,DC,GAS,1.0
336,-120.28856100000002,34.813784000000005,DC,GAS,1.0
337,-120.244249,34.71153,DC,GAS,0.0
338,-118.85871000000002,34.470019,DC,GAS,1.0
339,-121.735825,37.974588,DC,GAS,3.0
340,-121.467674,37.97896400000001,DC,GAS,3.0
341,-117.993678,33.67372,DC,GAS,0.0
342,-117.993754,33.673719,DC,GAS,0.0
343,-121.473451,37.986091,DC,GAS,0.0
344,-117.993621,33.673507,DC,GAS,0.0
345,-119.739323,35.63726,DC,GAS,0.0
346,-119.54636399999998,35.279644,DC,GAS,3.0
347,-122.004468,38.022888,DC,GAS,0.0
348,-119.556796,35.289241,DC,GAS,4.0
349,-118.556833,34.314969,DC,GAS,2.0
350,-119.68308799999998,35.555705,DC,GAS,1.0
351,-119.550744,35.284354,DC,GAS,0.0
352,-121.981386,39.20621,DC,GAS,0.0
353,-119.709672,35.593851,DC,GAS,1.0
354,-121.981386,39.20621,DC,GAS,0.0
355,-118.557087,34.314815,DC,GAS,0.0
356,-118.552889,34.315009,DC,GAS,1.0
357,-119.370598,35.241194,DC,GAS,0.0
358,-122.049721,39.594798,DC,GAS,1.0
359,-119.471517,35.29396699999999,DC,GAS,0.0
360,-119.706248,35.589633,DC,GAS,1.0
361,-119.70661,35.586843,DC,GAS,1.0
362,-122.074902,39.596343,DC,GAS,0.0
363,-119.382878,35.242804,DC,GAS,3.0
364,-119.391649,35.24248400000001,DC,GAS,1.0
365,-119.412339,35.266704,DC,GAS,0.0
366,-119.676461,35.427021,DC,GAS,1.0
367,-119.708448,35.588078,DC,GAS,1.0
368,-121.638904,38.056141,DC,GAS,0.0
369,-119.702917,35.567076,DC,GAS,0.0
370,-121.629403,38.593134,DC,GAS,1.0
371,-119.391049,35.271944,DC,GAS,0.0
372,-119.705318,35.590684,DC,GAS,4.0
373,-118.933984,34.365069,DC,GAS,2.0
374,-119.704249,35.577657,DC,GAS,0.0
375,-121.641291,38.044738,DC,GAS,2.0
376,-121.763324,39.017634,DC,GAS,2.0
377,-119.407149,35.260024,DC,GAS,3.0
378,-119.349847,35.264644,DC,GAS,2.0
379,-119.680497,35.544049,DC,GAS,2.0
380,-121.88305,39.32421400000001,DC,GAS,0.0
381,-121.977975,39.252887,DC,GAS,2.0
382,-121.885386,39.130539,DC,GAS,0.0
383,-119.585056,35.309294,DC,GAS,0.0
384,-121.468747,37.988171,DC,GAS,4.0
385,-119.413349,35.274224,DC,GAS,0.0
386,-119.692307,35.406006,DF,GAS,2.0
387,-119.378388,35.253974,DC,GAS,2.0
388,-119.460301,35.275424,DC,GAS,0.0
389,-122.092272,39.763289,DC,GAS,0.0
390,-95.6203416,30.2412028,DC,GAS,0.0
391,-99.1131454,26.658982,DC,GAS,1.0
392,-100.7969239,30.643050899999995,DC,GAS,1.0
393,-119.694136,35.559631,DC,GAS,3.0
394,-98.0597519,27.1394858,DC,GAS,0.0
395,-99.3286463,27.1110744,DC,GAS,4.0
396,-99.3412241,27.148181800000003,DC,GAS,4.0
397,-99.1399186,26.6777851,DC,GAS,3.0
398,-99.0821589,27.5629885,DC,GAS,3.0
399,-99.487495,27.3683492,DC,GAS,0.0
400,-96.3991064,31.433451300000005,DC,GAS,0.0
401,-97.5453422,33.0786782,DC,GAS,0.0
402,-97.4158763,33.086702,DC,GAS,0.0
403,-97.3253338,28.6891844,DC,GAS,4.0
404,-98.8583747,27.4723876,DC,GAS,4.0
405,-97.2990686,27.7741612,DC,GAS,0.0
406,-99.135886,27.105315500000003,DC,GAS,0.0
407,-99.3422604,27.1216967,DC,GAS,1.0
408,-99.3655417,27.2262087,DC,GAS,1.0
409,-97.7052062,27.3658146,DC,GAS,4.0
410,-98.9752174,32.3141373,DC,GAS,1.0
411,-100.8725715,30.6209711,DC,GAS,1.0
412,-97.526114,28.6667687,DC,GAS,1.0
413,-94.9778012,29.976817,DC,GAS,1.0
414,-98.4190327,26.455716100000004,DC,GAS,0.0
415,-99.3697395,27.1939957,DC,GAS,1.0
416,-99.1160646,26.6744321,DC,GAS,4.0
417,-96.1431494,31.6922929,DC,GAS,0.0
418,-100.844428,30.628360600000004,DC,GAS,0.0
419,-95.6187435,30.2479065,DC,GAS,1.0
420,-99.2238184,26.7663094,DC,GAS,1.0
421,-100.7687225,30.5685369,DC,GAS,4.0
422,-100.7712661,30.5831588,DC,GAS,1.0
423,-100.6848934,30.586478000000003,DC,GAS,1.0
424,-119.462948,35.280614,DC,GAS,1.0
425,-122.084298,39.509901,DC,GAS,1.0
426,-99.3016658,28.048355800000003,DC,GAS,3.0
427,-96.7719054,28.9509758,DC,GAS,4.0
428,-98.5069404,26.4218549,DC,GAS,0.0
429,-99.3857203,27.2537307,DC,GAS,0.0
430,-99.1494544,26.6752458,DC,GAS,3.0
431,-98.2486071,26.6567836,DC,GAS,3.0
432,-98.9809786,27.5991867,DC,GAS,1.0
433,-99.0230062,27.289312,DC,GAS,1.0
434,-99.05057990000002,27.2741446,DC,GAS,2.0
435,-94.8161356,32.6276915,DC,GAS,1.0
436,-96.2826082,29.3992802,DC,GAS,0.0
437,-97.7318145,27.8456006,DC,GAS,1.0
438,-98.1763266,27.1273289,DC,GAS,0.0
439,-98.2111319,26.5838219,DC,GAS,0.0
440,-96.1385793,31.5936718,DC,GAS,0.0
441,-96.0922015,31.5376706,DC,GAS,3.0
442,-96.3995231,31.1487381,DC,GAS,4.0
443,-100.6137232,30.61726890000001,DC,GAS,0.0
444,-99.3648686,28.1739992,DC,GAS,4.0
445,-101.6960358,30.2930707,DC,GAS,0.0
446,-93.7693532,30.1706418,DC,GAS,4.0
447,-95.6857237,29.4984296,DC,GAS,0.0
448,-99.1363171,27.1018859,DC,GAS,0.0
449,-98.2790429,26.6843265,DC,GAS,0.0
450,-98.2431601,26.6464825,DC,GAS,4.0
451,-98.1010389,26.4202625,DC,GAS,1.0
452,-94.0077878,31.9570602,DC,GAS,1.0
453,-101.7331341,30.3066032,DC,GAS,1.0
454,-98.1324759,28.4062653,DC,GAS,1.0
455,-97.3165587,28.747813300000004,DC,GAS,1.0
456,-95.5993541,30.2503315,DC,GAS,1.0
457,-96.1543595,31.51424960000001,DC,GAS,0.0
458,-122.075831,39.530393,DC,GAS,0.0
459,-119.690316,35.56195200000001,DC,GAS,3.0
460,-119.385318,35.265074,DC,GAS,2.0
461,-119.361507,35.269014,DC,GAS,2.0
462,-122.230541,39.884288,DC,GAS,4.0
463,-121.644261,38.587724,DC,GAS,0.0
464,-97.7645942,28.6406459,DC,GAS,3.0
465,-94.2922279,30.13080900000001,DC,GAS,0.0
466,-99.2341973,27.3049713,DC,GAS,0.0
467,-97.740911,26.5854587,DC,GAS,0.0
468,-94.5741658,32.4343407,DC,GAS,0.0
469,-99.3908333,27.293888800000005,DC,GAS,4.0
470,-99.6350098,28.0039976,DC,GAS,0.0
471,-98.7989674,27.5746492,DC,GAS,0.0
472,-98.386588,26.4790671,DC,GAS,2.0
473,-94.6326778,32.3603546,DC,GAS,2.0
474,-121.577615,38.13124000000001,DC,GAS,4.0
475,-121.212285,38.208868,DC,GAS,2.0
476,-101.7454899,30.2960036,DC,GAS,0.0
477,-101.7248061,30.2908958,DC,GAS,3.0
478,-96.9726863,29.1386419,DC,GAS,3.0
479,-96.1091433,29.3751237,DC,GAS,2.0
480,-94.2892724,30.0888637,DC,GAS,1.0
481,-98.1597155,26.2548373,DC,GAS,0.0
482,-99.0516255,26.8761596,DC,GAS,0.0
483,-98.9565432,27.0277337,DC,GAS,0.0
484,-98.5041998,26.414348600000004,DC,GAS,0.0
485,-98.2426613,26.6610728,DC,GAS,1.0
486,-98.9733189,27.6696357,DC,GAS,0.0
487,-96.1386621,31.5485341,DC,GAS,1.0
488,-96.1499518,31.51141710000001,DC,GAS,1.0
489,-96.1192834,31.537954,DC,GAS,3.0
490,-96.1728396,31.569334,DC,GAS,1.0
491,-96.0461932,31.6332088,DC,GAS,1.0
492,-96.0762708,31.6480055,DC,GAS,1.0
493,-96.391671,31.43483,DC,GAS,0.0
494,-94.8511555,32.523382500000004,DC,GAS,0.0
495,-94.7725316,32.6177433,DC,GAS,0.0
496,-102.1023973,30.4896685,DC,GAS,0.0
497,-100.163802,33.959565399999995,DC,GAS,0.0
498,-121.963335,39.286896,DC,GAS,0.0
499,-101.2727522,32.2559733,DC,GAS,1.0
500,-100.0495898,35.53049760000001,DC,GAS,0.0
501,-97.4560884,33.1496541,DC,GAS,0.0
502,-95.3445835,29.5202267,DC,GAS,4.0
503,-98.5055532,27.8098966,DC,GAS,3.0
504,-96.0161519,29.5933613,DC,GAS,0.0
505,-96.1271776,31.5495153,DC,GAS,1.0
506,-96.0762244,31.648488,DC,GAS,1.0
507,-98.2542885,26.5896902,DC,GAS,3.0
508,-98.3049228,26.4785217,DC,GAS,3.0
509,-121.214732,38.2117,DC,GAS,0.0
510,-96.8060404,29.2101785,DC,GAS,0.0
511,-99.0411198,27.270924,DC,GAS,0.0
512,-99.2005847,27.52076880000001,DC,GAS,1.0
513,-99.2621227,27.3349738,DC,GAS,0.0
514,-98.9573228,27.626109000000003,DC,GAS,0.0
515,-99.2772746,27.298847100000003,DC,GAS,0.0
516,-99.2301104,27.0803531,DC,GAS,0.0
517,-99.1182195,27.1519842,DC,GAS,1.0
518,-99.1667014,27.0358691,DC,GAS,4.0
519,-94.9297533,29.5611031,DC,GAS,0.0
520,-96.7498747,30.0436477,DC,GAS,2.0
521,-96.0696555,31.6445987,DC,GAS,0.0
522,-96.3193306,31.4647547,DC,GAS,0.0
523,-94.3589899,32.187966100000004,DC,GAS,0.0
524,-98.5935759,26.4406187,DC,GAS,0.0
525,-99.0310329,27.300984600000003,DC,GAS,0.0
526,-98.2869788,26.4750396,DC,GAS,0.0
527,-121.317129,37.884291,DC,GAS,4.0
528,-96.5133494,29.4254388,DC,GAS,0.0
529,-95.6068902,30.2479783,DC,GAS,0.0
530,-99.1155328,26.668375399999995,DC,GAS,1.0
531,-99.1784501,26.8387439,DC,GAS,0.0
532,-98.8560509,27.24429120000001,DC,GAS,0.0
533,-96.0654026,31.6486209,DC,GAS,0.0
534,-95.7100384,32.3230528,DC,GAS,0.0
535,-120.442704,36.923958,DC,GAS,0.0
536,-94.8511015,30.5229191,DC,GAS,0.0
537,-96.2602761,29.4197082,DC,GAS,0.0
538,-95.9856458,29.6158824,DC,GAS,0.0
539,-99.1146215,27.0915754,DC,GAS,0.0
540,-99.2648234,27.2465805,DC,GAS,0.0
541,-99.4217767,27.2025281,DC,GAS,0.0
542,-98.2390398,26.6483047,DC,GAS,0.0
543,-99.0472004,27.6098692,DC,GAS,1.0
544,-99.0625313,27.3007643,DC,GAS,1.0
545,-96.1410441,31.5023997,DC,GAS,1.0
546,-96.2130994,31.9910728,DC,GAS,1.0
547,-94.4476865,33.2329017,DC,GAS,2.0
548,-94.3212849,32.2697891,DC,GAS,0.0
549,-94.6087464,32.3814816,DC,GAS,2.0
550,-97.425063,33.1055157,DC,GAS,2.0
551,-97.5060263,27.753612100000005,DC,GAS,3.0
552,-99.2728203,27.27857310000001,DC,GAS,1.0
553,-99.1183123,26.674295,DC,GAS,1.0
554,-98.250804,26.6519309,DC,GAS,4.0
555,-98.3260058,26.623248,DC,GAS,3.0
556,-97.044895,27.7128779,DC,GAS,0.0
557,-96.144064,31.5122335,DC,GAS,4.0
558,-96.0873343,31.6434901,DC,GAS,0.0
559,-96.0500854,31.6461238,DC,GAS,1.0
560,-94.4561849,32.151607899999995,DC,GAS,4.0
561,-97.3215464,33.2070761,DC,GAS,0.0
562,-95.9533515,29.0115892,DC,GAS,0.0
563,-98.5067686,26.6183523,DC,GAS,0.0
564,-98.9738856,26.7304113,DC,GAS,0.0
565,-98.0753791,26.817424100000004,DC,GAS,1.0
566,-96.1736527,31.601224100000003,DC,GAS,0.0
567,-94.2596345,32.4672394,DC,GAS,0.0
568,-102.3026661,30.619440500000003,DC,GAS,0.0
569,-101.282738,32.2242896,DC,GAS,0.0
570,-97.3396164,33.03027460000001,DC,GAS,0.0
571,-97.3395511,33.0303622,DC,GAS,4.0
572,-97.3396817,33.030271899999995,DC,GAS,1.0
573,-98.2231378,28.1803827,DC,GAS,1.0
574,-94.9043157,29.4730761,DC,GAS,1.0
575,-97.137955,27.9726653,DC,GAS,0.0
576,-94.8052072,32.4644874,DC,GAS,0.0
577,-122.176301,39.825951,DC,GAS,0.0
578,-118.557494,34.314855,DC,GAS,0.0
579,-99.3749166,28.176371600000003,DC,GAS,0.0
580,-97.6678209,27.13477910000001,DC,GAS,0.0
581,-99.1293148,27.0918302,DC,GAS,0.0
582,-99.3299274,27.2022734,DC,GAS,0.0
583,-99.2528876,27.0710989,DC,GAS,1.0
584,-99.218278,27.0685591,DC,GAS,1.0
585,-98.2823174,26.4768939,DC,GAS,0.0
586,-98.3203527,26.5203665,DC,GAS,1.0
587,-99.0781035,27.6618957,DC,GAS,4.0
588,-96.6047112,30.8142652,DC,GAS,1.0
589,-100.7494807,30.6531242,DC,GAS,1.0
590,-100.1584512,33.9675851,DC,GAS,2.0
591,-97.2634482,33.239940399999995,DC,GAS,2.0
592,-99.1672594,27.07362860000001,DC,GAS,0.0
593,-98.8735697,27.2424217,DC,GAS,0.0
594,-98.9746527,27.6337826,DC,GAS,4.0
595,-96.06032009999998,31.6532623,DC,GAS,3.0
596,-94.5677639,32.3529499,DC,GAS,0.0
597,-94.845757,30.528018,DC,GAS,4.0
598,-96.0027297,29.6064252,DC,GAS,1.0
599,-99.1286583,27.7642074,DC,GAS,1.0
600,-99.2140485,27.0566558,DC,GAS,4.0
601,-99.1944637,27.77439110000001,DC,GAS,2.0
602,-98.4244793,26.454869899999995,DC,GAS,2.0
603,-99.0870735,27.1124201,DC,GAS,1.0
604,-99.3168238,27.1707451,DC,GAS,1.0
605,-102.115743,30.50321670000001,DC,GAS,0.0
606,-102.7823157,30.4767489,DC,GAS,0.0
607,-97.4355794,32.989891,DC,GAS,0.0
608,-100.3070134,35.67554960000001,DC,GAS,0.0
609,-118.557931,34.314809000000004,DC,GAS,0.0
610,-103.9925003,32.7571564,DC,GAS,0.0
611,-107.5268784,36.5870323,DC,GAS,0.0
612,-103.2018204,32.739353200000004,DC,GAS,0.0
613,-99.1495524,27.4853869,DC,GAS,0.0
614,-98.5162739,26.4705126,DC,GAS,0.0
615,-98.4265345,26.4530324,DC,GAS,0.0
616,-99.1221615,27.1491447,DC,GAS,0.0
617,-98.2739622,26.4823627,DC,GAS,0.0
618,-98.5374199,26.5808212,DC,GAS,0.0
619,-98.545981,26.3913005,DC,GAS,0.0
620,-98.9819192,27.7063773,DC,GAS,0.0
621,-99.0148305,27.7070988,DC,GAS,0.0
622,-99.0385895,27.2688915,DC,GAS,4.0
623,-96.4491838,31.1989449,DC,GAS,0.0
624,-96.1367674,31.5272124,DC,GAS,0.0
625,-96.2369198,31.486549100000005,DC,GAS,0.0
626,-96.1466217,31.6505623,DC,GAS,0.0
627,-94.6300544,32.3518202,DC,GAS,1.0
628,-97.4156659,33.1192213,DC,GAS,2.0
629,-97.5668918,33.107548699999995,DC,GAS,0.0
630,-92.9671038,32.4095989,DC,GAS,0.0
631,-89.42005440000001,29.2118908,DC,GAS,0.0
632,-92.1116927,30.1822062,DC,GAS,2.0
633,-89.3672733,29.652430100000004,DC,GAS,1.0
634,-97.6221879,28.7684148,DC,GAS,1.0
635,-95.3313838,29.2523987,DC,GAS,0.0
636,-99.1519782,26.6311627,DC,GAS,2.0
637,-98.17828670000002,27.087621,DC,GAS,2.0
638,-98.4504673,26.367223100000004,DC,GAS,0.0
639,-97.9077967,27.4609161,DC,GAS,0.0
640,-99.0991553,26.6393082,DC,GAS,0.0
641,-98.9773461,27.6559625,DC,GAS,0.0
642,-94.6505181,32.3653595,DC,GAS,2.0
643,-102.1476851,30.508886600000004,DC,GAS,0.0
644,-100.7826184,30.5667518,DC,GAS,2.0
645,-107.39887240000002,36.9231529,DC,GAS,0.0
646,-107.5678253,36.5868721,DC,GAS,2.0
647,-107.4119873,36.9253654,DC,GAS,2.0
648,-93.6195378,32.3875717,DF,GAS,0.0
649,-119.349499,35.262005,DC,GAS,2.0
650,-121.708087,38.139688,DC,GAS,2.0
651,-122.118052,39.865121,DC,GAS,0.0
652,-121.636181,38.595899,DC,GAS,2.0
653,-103.149765,32.3745155,DC,GAS,4.0
654,-107.6680603,36.7811432,DF,GAS,4.0
655,-97.2599739,28.7286336,DC,GAS,1.0
656,-96.9066418,28.846402,DC,GAS,3.0
657,-95.8707007,29.778443100000004,DC,GAS,3.0
658,-94.2888334,30.1646749,DC,GAS,4.0
659,-98.5860482,27.1262998,DC,GAS,3.0
660,-99.1229506,27.1333049,DC,GAS,3.0
661,-99.1199307,27.1305709,DC,GAS,3.0
662,-99.0717928,27.6110132,DC,GAS,3.0
663,-102.9924576,30.9724836,DC,GAS,2.0
664,-97.4217613,32.9330473,DC,GAS,0.0
665,-93.9025467,32.1178572,DF,GAS,2.0
666,-89.9972924,29.7957639,DC,GAS,4.0
667,-91.2195484,29.6232663,DC,GAS,0.0
668,-121.627324,38.591207,DC,GAS,3.0
669,-98.1459524,28.823615000000004,DC,GAS,0.0
670,-94.5949183,30.0514829,DC,GAS,0.0
671,-94.6805091,30.6899459,DC,GAS,0.0
672,-94.9293507,29.5609891,DC,GAS,0.0
673,-96.9820565,27.7570173,DC,GAS,0.0
674,-99.1568475,26.6511237,DC,GAS,0.0
675,-99.3470235,27.309950300000004,DC,GAS,4.0
676,-99.1331995,27.0846902,DC,GAS,4.0
677,-99.1275455,27.1301761,DC,GAS,0.0
678,-99.3598557,27.2155786,DC,GAS,3.0
679,-99.2467391,27.0645126,DC,GAS,0.0
680,-98.2106278,26.5930216,DC,GAS,0.0
681,-97.3527371,27.907287300000004,DC,GAS,4.0
682,-94.6243086,32.4144252,DC,GAS,0.0
683,-94.8213,32.5634185,DF,GAS,2.0
684,-101.878959,30.301781800000004,DC,GAS,0.0
685,-97.2903257,33.2051548,DC,GAS,0.0
686,-97.4385793,33.02795510000001,DC,GAS,0.0
